time,nome-completo,imagem-do-escudo,serie,formato-escudo,formato-faixa,formato-desenho,formato-abreviatura,formato-estrela-campeao
Bragantino (SP),Clube Atlético Bragantino,bragantino-c.png,C,D,vertical,bola,CA,estrela_3
CSA (AL),Centro Sportivo Alagoano,csa-c.png,C,D,transversal,,,
Vitória (BA),Esporte Clube Vitória,vitoria-a.png,A,F,,,FC,
Ypiranga (RS),Ypiranga Futebol Clube,ypiranga-c.png,C,A,vertical,,FC,
Goiás (GO),Goiás Esporte Clube,goias-b.png,B,A,,,,
Macaé (RJ),Macaé Esporte Futebol Clube,macae-c.png,C,H,,"estrela, planta",,estrela_1
São Francisco (PA),São Francisco Futebol Clube,sao-francisco-d.png,D,J,,cruz,FC,estrela_8
Sport (PE),Sport Club do Recife,sport-a.png,A,F,transversal,animais_terrestres,,estrela_3
Brasil de Pelotas (RS),Grêmio Esportivo Brasil,brasil-de-pelotas-b.png,B,L,vertical,,GE,estrela_1
Guarani (SP),Guarani Futebol Clube,guarani-b.png,B,A,,,FC,estrela_2
Novo Hamburgo (RS),Esporte Clube Novo Hamburgo,novo-hamburgo-d.png,D,F,vertical,,EC,
São Paulo (SP),São Paulo Futebol Clube,sao-paulo-a.png,A,E,,,FC,
América de Natal (RN),América Futebol Clube,america-rn-d.png,D,A,,,FC,estrela_6
Real Desportivo (RO),Real Desportivo Ariquemes Futebol Clube ,real-desportivo-d.png,D,G,vertical,,FC,
Santos (SP),Santos Futebol Clube,santos-a.png,A,D,vertical,bola,FC,estrela_2
Vasco da Gama (RJ),Club de Regatas Vasco da Gama,vasco-a.png,A,H,,"elementos_nauticos, cruz",CR,
Atlético-GO,Atlético Clube Goianiense,atletico-go-a.png,A,E,,,AC,estrela_2
Botafogo de Ribeirão Preto (SP),Botafogo Futebol Clube,botafogo-sp-c.png,C,F,vertical,,FC,estrela_1
Murici (AL),Murici Futebol Clube,murici-d.png,D,I,,,FC,
Santa Cruz (PE),Santa Cruz Futebol Clube,santa-cruz-b.png,B,D,,,FC,
ASA (AL),Agremiação Sportiva Arapiraquense,asa-c.png,C,A,vertical,"bola, estrela",,
Atlético-AC,Atlético Acreano,atletico-ac-d.png,D,C,,,,
Bahia (BA),Esporte Clube Bahia,bahia-a.png,A,A,,bandeira,,estrela_2
Ponte Preta (SP),Associação Atlética Ponte Preta,ponte-preta-a.png,A,D,vertical,,AA,
Boa Esporte (MG),Boa Esporte Clube,boa-b.png,B,A,,estrela,,estrela_1
Genus (RO),Sport Club Genus de Porto Velho,genus-d.png,D,L,,bola,SC,
Náutico (PE),Clube Náutico Capibaribe,nautico-b.png,B,A,,"elementos_nauticos, bandeira, bola, estrela",C,
Palmeiras (SP),Sociedade Esportiva Palmeiras,palmeiras-a.png,A,A,,estrela,,
Confiança (SE),Associação Desportiva Confiança,confianca-c.png,C,A,,estrela,AD,
Criciúma (SC),Criciúma Esporte Clube,criciuma-b.png,B,L,,,EC,estrela_3
Internacional (RS),Sport Club Internacional,internacional-b.png,B,A,,,SC,
Ceará (CE),Ceará Sporting Club,ceara-b.png,B,D,vertical,estrela,,
Cuiabá (MT),Cuiabá Esporte Clube,cuiaba-c.png,C,F,,,,estrela_1
Grêmio (RS),Grêmio Foot-Ball Porto Alegrense,gremio-a.png,A,A,,,,estrela_3
Trem (AP),Trem Desportivo Clube,trem-d.png,D,I,horizontal,,DC,
CRB (AL),Clube de Regatas Brasil,crb-b.png,B,J,,cruz,CR,
Fluminense (RJ),Fluminense Football Club,fluminense-a.png,A,F,,,FC,
Fortaleza (CE),Fortaleza Esporte Clube,fortaleza-c.png,C,E,,,,estrela_6
Baré (RR),Baré Esporte Clube,bare-d.png,D,C,,,,estrela_2
Flamengo (RJ),Clube de Regatas do Flamengo,flamengo-a.png,A,I,horizontal,,CR,estrela_1
Juventude (RS),Esporte Clube Juventude,juventude-b.png,B,A,,bola,EC,estrela_2
Luverdense (MT),Luverdense Esporte Clube,luverdense-b.png,B,J,,,EC,estrela_3
Figueirense (SC),Figueirense Futebol Clube,figueirense-b.png,B,D,transversal,planta,FC,
Oeste (SP),Oeste Futebol Clube,oeste-b.png,B,I,horizontal,,FC,estrela_2
Princesa do Solimões (AM),Princesa do Solimões Esporte Clube,princesa-solimoes-d.png,D,G,,coroa,,
Remo (PA),Clube do Remo,remo-c.png,C,H,,,C,estrela_6
Cruzeiro (MG),Cruzeiro Esporte Clube,cruzeiro-a.png,A,A,,"coroa, estrela",,
Londrina (PR),Londrina Esporte Clube,londrina-b.png,B,F,,planta,EC,estrela_1
River (PI),River Atlético Clube,river-d.png,D,H,,,,estrela_4
São Raimundo-PA,São Raimundo Esporte Clube,sao-raimundo-pa-d.png,D,A,,bola,EC,estrela_1
Coritiba (PR),Coritiba Foot Ball Club,coritiba-a.png,A,A,,,FC,estrela_1
Paraná Clube (PR),Paraná Clube,parana-b.png,B,G,,"animais_alados, planta",,estrela_2
Tombense (MG),Tombense Futebol Clube,tombense-c.png,C,A,,estrela,FC,
Avaí (SC),Avaí Futebol Clube,avai-a.png,A,I,vertical,,FC,estrela_1
Botafogo da Paraíba,Botafogo Futebol Clube,botafogo-pb-c.png,C,J,,estrela,,estrela_1
Corinthians (SP),Sport Club Corinthians Paulista,corinthians-a.png,A,A,,"elementos_nauticos, bandeira, estrela",SC,
Rio Branco (AC),Rio Branco Football Club,rio-branco-acre-d.png,D,F,vertical,estrela,FC,estrela_5
Chapecoense (SC),Associação Chapecoense de Futebol,chapecoense-a.png,A,A,,,,estrela_1
Salgueiro (PE),Salgueiro Atlético Clube,salgueiro-c.png,C,F,,animais_alados,AC,estrela_2
Vila Nova (GO),Vila Nova Futebol Clube,vila-nova-b.png,B,H,,,FC,estrela_2
Botafogo (RJ),Botafogo de Futebol e Regatas,botafogo-a.png,A,J,,estrela,,
Joinville (SC),Joinville Esporte Clube,joinville-c.png,C,E,,animais_terrestres,EC,estrela_2
Portuguesa (SP),Associação Portuguesa de Desportos,portuguesa-sp-d.png,D,F,,cruz,,
ABC (RN),ABC Futebol Clube,abc-b.png,B,D,,estrela,FC,estrela_1
Atlético-PR,Clube Atlético Paranaense,atletico-pr-a.png,A,A,vertical,,C,estrela_2
Moto Club (MA),Moto Club de São Luís,motoclub-c.png,C,H,,"animais_alados, pneu",,
Paysandu (PA),Paysandu Sport Club,paysandu-b.png,B,H,,"animais_alados, figura_humana",SC,estrela_3
Atlético-MG,Clube Atlético Mineiro,atletico-mg-a.png,A,F,vertical,,C,estrela_1
Mogi Mirim (SP),Mogi Mirim Esporte Clube,mogi-mirim-c.png,C,F,vertical,,EC,
Santos-AP,Santos Futebol Clube,santos-ap-d.png,D,D,vertical,bola,FC,estrela_3
Tupi (MG),Tupi Football Club,tupi-c.png,C,D,vertical,,FC,estrela_1
América-MG,América Futebol Clube,america-mg-b.png,B,F,,,FC,estrela_3
Sampaio Corrêa (MA),Sampaio Corrêa Futebol Clube,sampaio-correa-c.png,C,D,vertical,,FC,estrela_3
Altos (PI),Associação Atlética de Altos,altos-d.png,D,D,,figura_humana,,
Juazeirense (BA),Sociedade Desportiva Juazeirense,juazeirense-d.png,D,A,,"animais_alados, bola, planta",,estrela_1
Maranhão (MA),Maranhão Atlético Clube,maranhao-d.png,D,H,,,AC,
Parnahyba (PI),Parnahyba Sport Club,parnahyba-d.png,D,A,,estrela,SC,estrela_1
Central (PE),Central Sport Club,central-d.png,D,D,vertical,animais_alados,SC,estrela_1
Guarani de Juazeiro (CE),Guarani Esporte Clube,guarani-juazeiro-d.png,D,F,horizontal,animais_terrestres,EC,
América-PE,América Futebol Clube,america-pe-d.png,D,A,,,FC,
Globo (RN),Globo Futebol Clube,globo-d.png,D,A,,animais_alados,,
Sousa (PB),Sousa Esporte Clube,sousa-d.png,D,G,,"animais_terrestres, bola",EC,estrela_2
Potiguar (RN),Associação Cultural e Desportiva Potiguar,potiguar-mossoro-d.png,D,F,vertical,planta,,estrela_2
Foz do Iguaçu (PR),Foz do Iguaçu Futebol Clube,foz-iguacu-d.png,D,A,vertical,"animais_alados, bola, estrela",FC,
Itabaiana (SE),Associação Olímpica de Itabaiana,itabaiana-d.png,D,F,,,AO,estrela_6
União Rondonópolis (MT),União Esporte Clube,uniao-rondonopolis-d.png,D,F,,,FC,
Fluminense de Feira (BA),Fluminense de Feira Futebol Clube,flu-de-feira-d.png,D,F,,,FC,
Sergipe (SE),Club Sportivo Sergipe,sergipe-d.png,D,M,,"elementos_nauticos, bola",CS,estrela_6
Campinense (PB),Campinense Clube,campinense-d.png,D,A,,,C,estrela_7
Ceilândia (DF),Ceilândia Esporte Clube,ceilandia-d.png,D,G,,bola,,estrela_2
Aparecidense (GO),Associação Atlética Aparecidense,aparecidense-d.png,D,A,,,AA,
Guarany de Sobral (CE),Guarany Sporting Club,guarany-sobral-d.png,D,A,,,SC,estrela_1
Comercial (MS),Esporte Clube Comercial,comercial-d.png,D,D,vertical,bola,EC,
Sete de Dourados (MS),Clube Desportivo Sete de Setembro,sete-dourados-d.png,D,A,,bola,,
Anápolis (GO),Anápolis Futebol Clube,anapolis-d.png,D,D,vertical,bola,FC,estrela_1
Sinop (MT),Sinop Futebol Clube,sinop-d.png,D,D,vertical,"animais_alados, bola",FC,estrela_3
Luziânia (DF),Associação Atlética Luziânia,luziania-d.png,D,A,,construcao,,estrela_2
Volta Redonda (RJ),Volta Redonda Futebol Clube,volta-redonda-c.png,C,G,,raio,FC,estrela_1
URT (MG),União Recreativa dos Trabalhadores,urt-d.png,D,D,vertical,"animais_alados, bola",,estrela_3
Desportiva Ferroviária (ES),Desportiva Ferroviária,desportiva-ferroviaria-d.png,D,A,,bola,,
Caldense (MG),Associação Atlética Caldense,caldense-d.png,D,D,transversal,bola,AA,estrela_1
Audax (SP),Grêmio Osasco Esporte Clube,audax-sp-d.png,D,E,,,GE,
Boavista (RJ),Boavista Sport Club,boavista-d.png,D,B,,planta,SC,
Espírito Santo (ES),Espírito Santo Futebol Clube,espirito-santo-d.png,D,G,,,FC,
São Bento (SP),Esporte Clube São Bento,sao-bento-c.png,C,A,,,EC,
Portuguesa (RJ),Associação Atlética Portuguesa,portuguesa-rj.png,D,L,,estrela,AA,
Villa Nova (MG),Villa Nova Atlético Clube,villa-nova-mg-d.png,D,D,vertical,bola,AC,estrela_2
São José (RS),Esporte Clube São José,sao-jose-d.png,D,A,,bola,,
Brusque (SC),Brusque Futebol Clube,brusque-d.png,D,F,,,FC,estrela_1
Inter de Lages (SC),Esporte Clube Internacional de Lages,inter-lages-d.png,D,A,,estrela,EC,
PSTC (PR),Paraná Soccer Techinical Center,pstc-d.png,D,L,,"bola, figura_humana",,
Ituano (SP),Ituano Futebol Clube,ituano-d.png,D,D,vertical,bola,,estrela_2
Metropolitano (SC),Clube Atlético Metropolitano,metropolitano-d.png,D,B,vertical,,,
Bangu (RJ),Bangu Atlético Clube,bangu-d.png,D,D,transversal,,AC,
Cordino (MA),Cordino Esporte Clube,cordino-d.png,D,A,,"animais_alados, bola, cruz",EC,
Coruripe (AL),Associação Atlética Coruripe,coruripe-d.png,D,H,,construcao,AA,estrela_3
Fast Clube (AM),Nacional Fast Clube,fast-clube-d.png,D,J,,estrela,,estrela_8
Gurupi (TO),Gurupi Esporte Clube,gurupi-d.png,D,A,,,,estrela_5
Itumbiara (GO),Itumbiara Esporte Clube,itumbiara-d.png,D,A,,folhas,EC,estrela_1
Jacobina (BA),Jacobina Esporte Clube,jacobina-d.png,D,A,,"cruz, estrela",,
Operário (PR),Operário Ferroviário Esporte Clube,operario-d.png,D,A,vertical,bola,FEC,estrela_1
RB Brasil (SP),Red Bull Brasil,red-bull-d.png,D,G,,"animais_terrestres, bola",,
São Paulo (RS),Sport Club São Paulo,sao-paulo-rs-d.png,D,D,transversal,bola,SC,
São Raimundo-RR,São Raimundo Esporte Clube,sao-raimundo-rr-d.png,D,H,,estrela,EC,
Tocantins (TO),Tocantins Esporte Clube,tocantins-d.png,D,D,,bola,EC,
XV de Piracicaba (SP),Esporte Clube XV de Novembro de Piracicaba,xv-piracicaba-d.png,D,A,,,,
São Bernardo (SP),São Bernardo Futebol Clube,sao-bernardo-d.png,D,I,,bola,,
Atlético-PE,Clube Atlético Pernambucano,atletico-pe-d.png,D,A,,"bola, planta",,